term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,pooled,pooled_spec,p_fdr
src_out,4117,-2.368688685933647,-0.6987001985914452,0.2150418956729363,0.2458210191674011,-9.63582648040605,0.0,0.09360338927664048,"cluster_2way(u,v)",0.2281067904237566,0.8724799611367501,wiki-elec,SiGAT,node4,False,,0.0
src_in,4117,0.11872756212256237,0.04016550174588631,0.15294309849065277,0.15481565329454697,0.7668963673632884,0.4431431336595857,1.1260630942557468,"cluster_2way(u,v)",0.2281067904237566,0.8724799611367501,wiki-elec,SiGAT,node4,False,,0.5064492956109551
tgt_out,4117,-0.0018796967933659343,-0.0006731477010334667,0.1447467575784097,0.15140599213751066,-0.012414943205542006,0.990094562949221,0.9981220687302619,"cluster_2way(u,v)",0.2281067904237566,0.8724799611367501,wiki-elec,SiGAT,node4,False,,0.990094562949221
tgt_in,4117,-3.4912735339036645,-1.2407033664963636,0.1848736835849851,0.19218530740795536,-18.166183362251893,0.0,0.030462053000427862,"cluster_2way(u,v)",0.2281067904237566,0.8724799611367501,wiki-elec,SiGAT,node4,False,,0.0
const,9820,5.952817538937916,,0.1605347971448912,0.1725853960010152,34.49201193653083,0.0,384.83610368592116,"cluster_2way(u,v)",0.24514172756052532,0.8679226069246436,wiki-rfa,SiGAT,node4,False,,
src_out,9820,-2.154116762131916,-0.6121442754331339,0.1399106702657947,0.1536906523012767,-14.015925691493871,0.0,0.11600560592174143,"cluster_2way(u,v)",0.24514172756052532,0.8679226069246436,wiki-rfa,SiGAT,node4,False,,0.0
src_in,9820,0.04799609696295713,0.01682082842084718,0.09681631311503991,0.11120386089627544,0.4316045915683191,0.6660288207232226,1.0491665603805298,"cluster_2way(u,v)",0.24514172756052532,0.8679226069246436,wiki-rfa,SiGAT,node4,False,,0.6949865955372757
tgt_out,9820,-0.08768186589333832,-0.030853683133110415,0.09444989701517216,0.0925212149756947,-0.9476947088986275,0.3432848953337455,0.9160522578384356,"cluster_2way(u,v)",0.24514172756052532,0.8679226069246436,wiki-rfa,SiGAT,node4,False,,0.4119418744004946
tgt_in,9820,-4.062272264173618,-1.4616228510831184,0.13560206182340184,0.16127126962494165,-25.189063579774544,0.0,0.017209869283405493,"cluster_2way(u,v)",0.24514172756052532,0.8679226069246436,wiki-rfa,SiGAT,node4,False,,0.0
const,36692,4.700780304326629,,0.05735582723720432,0.07549300760877688,62.26775768011807,0.0,110.03299818722995,"cluster_2way(u,v)",0.21875578451425515,0.8274828300446964,slashdot090221,SiGAT,node4,False,,
src_out,36692,-2.884514764970617,-1.1107702920245583,0.05153631951622896,0.07521105283227046,-38.3522721241973,0.0,0.05588189881358008,"cluster_2way(u,v)",0.21875578451425515,0.8274828300446964,slashdot090221,SiGAT,node4,False,,0.0
src_in,36692,-0.22381866517379367,-0.08618380110983463,0.043925144160597195,0.05409269002618827,-4.137687829269256,3.508232314985982e-05,0.7994600911828021,"cluster_2way(u,v)",0.21875578451425515,0.8274828300446964,slashdot090221,SiGAT,node4,False,,5.613171703977571e-05
tgt_out,36692,-0.08123066379943639,-0.03118917032518837,0.03998371643683213,0.04575825922812118,-1.7752131564811648,0.07586269818790803,0.9219809992750582,"cluster_2way(u,v)",0.21875578451425515,0.8274828300446964,slashdot090221,SiGAT,node4,False,,0.10710027979469369
tgt_in,36692,-1.9558040136359653,-0.6722731413105105,0.05731878277206181,0.07719487412562173,-25.335931119639135,0.0,0.14145070266856663,"cluster_2way(u,v)",0.21875578451425515,0.8274828300446964,slashdot090221,SiGAT,node4,False,,0.0
