term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,pooled,pooled_spec,p_fdr
const,70792,3.4801944364595094,,0.025890219096895133,0.03832607536836289,90.80487378398033,0.0,32.46603404291927,"cluster_2way(u,v)",0.21539378721770075,0.9372810487060684,epinions,SiGAT,node4_zscored,False,,
src_out,70792,-0.9533116451802216,-0.9533116451803698,0.016753248863314765,0.024435451631528143,-39.01346533534905,0.0,0.3854623927623297,"cluster_2way(u,v)",0.21539378721770075,0.9372810487060684,epinions,SiGAT,node4_zscored,False,,0.0
src_in,70792,-0.25036233691339965,-0.250362336913519,0.01694560372745023,0.02806097138635896,-8.922083753490664,0.0,0.7785186459169532,"cluster_2way(u,v)",0.21539378721770075,0.9372810487060684,epinions,SiGAT,node4_zscored,False,,0.0
tgt_out,70792,0.02432009960592686,0.024320099605934776,0.01687903669969804,0.02048978446850904,1.1869377954318976,0.23525215768704344,1.0246182452996502,"cluster_2way(u,v)",0.21539378721770075,0.9372810487060684,epinions,SiGAT,node4_zscored,False,,0.2971606202362654
tgt_in,70792,-0.6260675662015253,-0.6260675662016201,0.014933061946687639,0.024895693141648818,-25.14762544024759,0.0,0.5346903064184911,"cluster_2way(u,v)",0.21539378721770075,0.9372810487060684,epinions,SiGAT,node4_zscored,False,,0.0
const,4117,2.66502906945438,,0.0794601547634751,0.08400259727530723,31.725555588717157,0.0,14.36836722052137,"cluster_2way(u,v)",0.2281067904237566,0.8724799611367501,wiki-elec,SiGAT,node4_zscored,False,,
src_out,4117,-0.6987001985914447,-0.6987001985914421,0.06343164304554429,0.0725106663151544,-9.635826480405953,0.0,0.4972311857369428,"cluster_2way(u,v)",0.2281067904237566,0.8724799611367501,wiki-elec,SiGAT,node4_zscored,False,,0.0
src_in,4117,0.04016550174588623,0.04016550174588636,0.051740608327375225,0.052374093104629114,0.766896367363279,0.443143133659591,1.040983044447775,"cluster_2way(u,v)",0.2281067904237566,0.8724799611367501,wiki-elec,SiGAT,node4_zscored,False,,0.5064492956109612
tgt_out,4117,-0.0006731477010335331,-0.000673147701033537,0.051835991549189435,0.054220763630475274,-0.012414943205543205,0.9900945629492202,0.9993270788120517,"cluster_2way(u,v)",0.2281067904237566,0.8724799611367501,wiki-elec,SiGAT,node4_zscored,False,,0.9900945629492202
tgt_in,4117,-1.2407033664963634,-1.2407033664963527,0.06569906350019124,0.06829741513423516,-18.16618336225204,0.0,0.28918074634151686,"cluster_2way(u,v)",0.2281067904237566,0.8724799611367501,wiki-elec,SiGAT,node4_zscored,False,,0.0
const,9820,2.7542859238171133,,0.056216094227581934,0.06638621115247852,41.48882540518782,0.0,15.709818889087924,"cluster_2way(u,v)",0.2451417275605252,0.8679226069246436,wiki-rfa,SiGAT,node4_zscored,False,,
src_out,9820,-0.6121442754331339,-0.6121442754331242,0.039758994210908116,0.04367490873647327,-14.015925691492681,0.0,0.5421870234031507,"cluster_2way(u,v)",0.2451417275605252,0.8679226069246436,wiki-rfa,SiGAT,node4_zscored,False,,0.0
src_in,9820,0.016820828420846985,0.01682082842084703,0.033930479649292654,0.038972774501135996,0.43160459156831865,0.6660288207232228,1.0169630951170674,"cluster_2way(u,v)",0.2451417275605252,0.8679226069246436,wiki-rfa,SiGAT,node4_zscored,False,,0.6949865955372759
tgt_out,9820,-0.03085368313311036,-0.030853683133110803,0.03323523244824558,0.03255656367330219,-0.9476947088986463,0.34328489533373574,0.9696174340824804,"cluster_2way(u,v)",0.2451417275605252,0.8679226069246436,wiki-rfa,SiGAT,node4_zscored,False,,0.4119418744004829
tgt_in,9820,-1.4616228510831184,-1.461622851083107,0.04879019901326065,0.05802608923726999,-25.189063579772014,0.0,0.2318596954884371,"cluster_2way(u,v)",0.2451417275605252,0.8679226069246436,wiki-rfa,SiGAT,node4_zscored,False,,0.0
const,36692,2.182261187223338,,0.021994681329811507,0.03096532668430489,70.47434730696514,0.0,8.866332045901293,"cluster_2way(u,v)",0.21875578451425515,0.8274828300446964,slashdot090221,SiGAT,node4_zscored,False,,
src_out,36692,-1.110770292024559,-1.1107702920244062,0.01984562997357408,0.028962307328955817,-38.3522721241908,0.0,0.32930520218262377,"cluster_2way(u,v)",0.21875578451425515,0.8274828300446964,slashdot090221,SiGAT,node4_zscored,False,,0.0
src_in,36692,-0.08618380110983481,-0.08618380110983612,0.016913852493572197,0.020828976149478307,-4.137687829269199,3.508232314985982e-05,0.9174255918805984,"cluster_2way(u,v)",0.21875578451425515,0.8274828300446964,slashdot090221,SiGAT,node4_zscored,False,,5.613171703977571e-05
tgt_out,36692,-0.03118917032518851,-0.031189170325180635,0.015352071297379167,0.017569253704164376,-1.7752131564811917,0.07586269818790359,0.9692921944120524,"cluster_2way(u,v)",0.21875578451425515,0.8274828300446964,slashdot090221,SiGAT,node4_zscored,False,,0.10710027979468742
tgt_in,36692,-0.6722731413105107,-0.6722731413105658,0.01970232082642784,0.026534376736975746,-25.335931119636808,0.0,0.5105467129212407,"cluster_2way(u,v)",0.21875578451425515,0.8274828300446964,slashdot090221,SiGAT,node4_zscored,False,,0.0
