dataset,seed,k,auc,max_occ
bitcoin-otc,46,128,0.9305010796076156,4491
bitcoin-otc,46,256,0.9303165537210826,4491
bitcoin-otc,46,512,0.9303252990237618,4491
bitcoin-otc,46,1024,0.9303261735540297,4491
bitcoin-otc,47,1,0.9176384884269038,12036
bitcoin-otc,47,2,0.9197259921764522,12036
bitcoin-otc,47,4,0.9200565646177297,12036
bitcoin-otc,47,8,0.9210972556365661,12036
bitcoin-otc,47,16,0.9209372165975349,12036
bitcoin-otc,47,32,0.9228025896590294,12036
bitcoin-otc,47,64,0.922398556675246,12036
bitcoin-otc,47,128,0.9225052493679331,12036
bitcoin-otc,47,256,0.9225402305786504,12036
bitcoin-otc,47,512,0.9225096220192729,12036
bitcoin-otc,47,1024,0.9225043748376653,12036
bitcoin-otc,48,1,0.9158317088933606,16275
bitcoin-otc,48,2,0.918756138109318,16275
bitcoin-otc,48,4,0.9204920806911587,16275
bitcoin-otc,48,8,0.919765346038509,16275
bitcoin-otc,48,16,0.9194548877933939,16275
bitcoin-otc,48,32,0.9217120504149209,16275
bitcoin-otc,48,64,0.9221187069895083,16275
bitcoin-otc,48,128,0.9216036086616977,16275
bitcoin-otc,48,256,0.9218012525022499,16275
bitcoin-otc,48,512,0.9217846364271591,16275
bitcoin-otc,48,1024,0.9217942562601064,16275
bitcoin-otc,49,1,0.9264423846341534,16053
bitcoin-otc,49,2,0.9266863785789058,16053
bitcoin-otc,49,4,0.930696099857364,16053
bitcoin-otc,49,8,0.9286925510135368,16053
bitcoin-otc,49,16,0.929800580863004,16053
bitcoin-otc,49,32,0.9312557992288392,16053
bitcoin-otc,49,64,0.9307485716734398,16053
bitcoin-otc,49,128,0.9305745401501219,16053
bitcoin-otc,49,256,0.9305780382711937,16053
bitcoin-otc,49,512,0.9305701674987823,16053
bitcoin-otc,49,1024,0.930572791089586,16053
bitcoin-otc,50,1,0.9304521059126117,29068
bitcoin-otc,50,2,0.9320393783489043,29068
bitcoin-otc,50,4,0.9307984198987119,29068
bitcoin-otc,50,8,0.9351544551632703,29068
bitcoin-otc,50,16,0.9341513689459549,29068
bitcoin-otc,50,32,0.9335479430610834,29068
bitcoin-otc,50,64,0.9343918647696356,29068
bitcoin-otc,50,128,0.9339790864831727,29068
bitcoin-otc,50,256,0.9337919370058358,29068
bitcoin-otc,50,512,0.9338059294901226,29068
bitcoin-otc,50,1024,0.9338068040203906,29068
bitcoin-otc,51,1,0.925736638707934,12786
bitcoin-otc,51,2,0.92783157596476,12786
bitcoin-otc,51,4,0.9278722416222185,12786
bitcoin-otc,51,8,0.9292128965229552,12786
bitcoin-otc,51,16,0.930035829505077,12786
bitcoin-otc,51,32,0.9294533923466359,12786
bitcoin-otc,51,64,0.9295810737657535,12786
bitcoin-otc,51,128,0.9296519107174559,12786
bitcoin-otc,51,256,0.9297962082116642,12786
bitcoin-otc,51,512,0.9297463599863922,12786
bitcoin-otc,51,1024,0.9297454854561243,12786
epinions,42,1,0.9507748508018897,7134
epinions,42,2,0.9519204585559755,7134
epinions,42,4,0.9520651684052888,7134
epinions,42,8,0.9526611821570445,7134
epinions,42,16,0.9526369543820246,7134
epinions,42,32,0.952685117895311,7134
epinions,42,64,0.9526976619450664,7134
epinions,42,128,0.9526976935166074,7134
epinions,42,256,0.9526980329106728,7134
