dataset,line_dist,n_pairs,mi_bits,nmi,phi,se_null,z,p
epinions,5,214639748,9.921011580997123e-08,2.0074768180821367e-07,-0.000370709285611126,6.825664317889422e-05,-5.43110924221005,5.600483572678001e-08
epinions,6,25252947,1.277076625857802e-05,2.5725773053999868e-05,-0.00418907332900167,0.0001989958296337718,-21.05106090268908,2.236182660390816e-98
epinions,7,3734822,1.4306963259650275e-05,3.8962658865376026e-05,0.004481070192912786,0.0005174460832632138,8.659975092773793,4.718673538606866e-18
epinions,8,464181,4.34333329694497e-06,8.679320632625372e-06,-0.0024484372031927234,0.0014677658804238191,-1.6681387923295603,0.09528817796356466
wiki-elec,1,6156824,0.00939966468987849,0.013349923150983054,0.11877648146955509,0.0004030154223639395,294.7194446625793,0.0
wiki-elec,2,599837984,5.655512415553808e-05,7.899016398465413e-05,0.008884619641975391,4.083034209319356e-05,217.59846198928764,0.0
wiki-elec,3,1429293207,1.7306301295251904e-05,2.2917722637848612e-05,-0.00489050080922871,2.645083188975263e-05,-184.8902457817725,0.0
wiki-elec,4,37165722,0.00190531311374334,0.00208768026595854,-0.05111937388534331,0.0001640320523687736,-311.6425914760717,0.0
wiki-elec,5,60604,0.004438320626454703,0.004637781947041997,-0.07853505094767534,0.004062121772187689,-19.33350484108694,2.8068682937397364e-83
wiki-elec,6,26,nan,nan,nan,nan,nan,nan
wiki-elec,7,0,nan,nan,nan,nan,nan,nan
wiki-elec,8,0,nan,nan,nan,nan,nan,nan
wiki-rfa,1,6844398,0.00896498843245782,0.012704460225988484,0.11573646509047751,0.0003822367183782321,302.78740771302245,0.0
wiki-rfa,2,773388415,5.630206270159591e-05,7.851873395781069e-05,0.00886351151838349,3.5958467063296876e-05,246.493030494911,0.0
wiki-rfa,3,2624224472,5.666691269340146e-06,7.583308082441038e-06,-0.0028002601331553966,1.952088529344342e-05,-143.4494435606327,0.0
wiki-rfa,4,139532598,0.0005369823595656187,0.0006244271947345181,-0.027161444691299833,8.465686101621794e-05,-320.8416230563574,0.0
wiki-rfa,5,210000,0.007069085016953778,0.007938078436929634,-0.09797285315988523,0.002182184098042533,-44.89669466832291,0.0
wiki-rfa,6,117,nan,nan,nan,nan,nan,nan
wiki-rfa,7,0,nan,nan,nan,nan,nan,nan
wiki-rfa,8,0,nan,nan,nan,nan,nan,nan
slashdot,1,6485912,0.06491432573371926,0.0887687037003347,0.32135453834793426,0.00039265805184080795,818.4081208608918,0.0
slashdot,2,663822571,0.0025769572669878827,0.0034067368020807326,0.06081420871296868,3.881271227902586e-05,1566.86315235517,0.0
slashdot,3,7742055109,9.730972816035413e-07,1.2214179356613316e-06,-0.0011611279335321763,1.1365063611137983e-05,-102.16642627448635,0.0
slashdot,4,2404804884,0.0003699372591523097,0.0005055534947246385,-0.022451522740548954,2.0392011973142947e-05,-1100.9959571482432,0.0
slashdot,5,154000889,0.006136706039974566,0.011939644821820096,-0.08343163886595474,8.058206407536353e-05,-1035.3623951345571,0.0
slashdot,6,12113888,0.008103683781775364,0.018389187761533754,-0.08833819776756217,0.00028731496089472587,-307.46118299050175,0.0
slashdot,7,674828,0.0037776363880377382,0.008069197744404774,-0.05820421165111575,0.0012173172458477745,-47.81351110373917,0.0
