dataset,model,train_auc,test_auc
slashdot090221,func_len_harmonic,0.8979,0.8983
slashdot090221,func_len_invq,0.8979,0.8984
slashdot090221,func_len_logq,0.8979,0.8984
slashdot090221,func_len_pos,0.898,0.8984
slashdot090221,func_len_power,0.8979,0.8983
slashdot090221,func_log1mq_power,0.8975,0.8979
slashdot090221,func_log3,0.8979,0.8983
slashdot090221,func_log4,0.8979,0.8983
slashdot090221,func_log5,0.8979,0.8983
slashdot090221,func_log6,0.8979,0.8983
slashdot090221,func_log_both,0.8979,0.8983
slashdot090221,func_logit3,0.8979,0.8983
slashdot090221,func_logit_len,0.898,0.8984
slashdot090221,func_logit_pos,0.898,0.8985
slashdot090221,func_logit_power,0.8976,0.8981
slashdot090221,func_logq3,0.8979,0.8983
slashdot090221,func_logq_power,0.8975,0.898
slashdot090221,func_pos_conf,0.898,0.8984
slashdot090221,func_pos_expde,0.8975,0.8979
slashdot090221,func_pos_expds,0.8977,0.8981
slashdot090221,func_pos_exprel,0.898,0.8984
slashdot090221,func_pos_invq,0.898,0.8985
slashdot090221,func_pos_middle,0.8979,0.8981
slashdot090221,func_pos_power,0.8978,0.8983
slashdot090221,func_rp_sym,0.8983,0.8985
slashdot090221,func_uniform,0.8975,0.8979
