direction,recording,sampling,n_anchors,line_dist,n_pairs,mi_bits,nmi,phi
undirected,tree,large_random_tree,300,6,107966,0.003598682858793287,0.005760604218087432,-0.06549240762244117
undirected,tree,large_random_tree,300,7,9578,0.0004454860632965305,0.0007272945988246658,-0.023619846510487343
undirected,tree,large_random_tree,300,8,811,nan,nan,nan
undirected,all,small_nonrandom,1000,1,580515,0.01621306607495825,0.024058399403651193,0.16110062599006478
undirected,all,small_nonrandom,1000,2,66586253,0.0019475590511665638,0.003019307035547899,0.05328851576175783
undirected,all,small_nonrandom,1000,3,427097480,1.9556810862721152e-05,3.296622308220432e-05,-0.005195737314029215
undirected,all,small_nonrandom,1000,4,52774502,0.000693083306157246,0.0013650291018421907,-0.030280033501635363
undirected,all,small_nonrandom,1000,5,2025919,3.0916772964557785e-05,5.79749698321772e-05,-0.006456435819528774
undirected,all,small_nonrandom,1000,6,128835,7.311078843071874e-10,1.4113890622057166e-09,3.1839563458966176e-05
undirected,all,small_nonrandom,1000,7,5892,0.0004451607434432891,0.0009055196195687812,-0.01808775908187136
undirected,all,small_nonrandom,1000,8,1582,nan,nan,nan
undirected,all,large_random_all(PRODUCTION),20000,1,6485912,0.06491432573371926,0.0887687037003347,0.32135453834793426
undirected,all,large_random_all(PRODUCTION),20000,2,663822571,0.0025769572669878827,0.0034067368020807326,0.06081420871296868
undirected,all,large_random_all(PRODUCTION),20000,3,7742055109,9.730972816035413e-07,1.2214179356613316e-06,-0.0011611279335321763
undirected,all,large_random_all(PRODUCTION),20000,4,2404804884,0.0003699372591523097,0.0005055534947246385,-0.022451522740548954
undirected,all,large_random_all(PRODUCTION),20000,5,154000889,0.006136706039974566,0.011939644821820096,-0.08343163886595474
undirected,all,large_random_all(PRODUCTION),20000,6,12113888,0.008103683781775364,0.018389187761533754,-0.08833819776756217
undirected,all,large_random_all(PRODUCTION),20000,7,674828,0.0037776363880377382,0.008069197744404774,-0.05820421165111575
undirected,all,large_random_all(PRODUCTION),20000,8,58008,0.0010081773682358857,0.0016671873361760762,-0.028481311908610196
