dataset,model,src_ent,tgt_ent,auc,n_eff
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.041666666666666664,0.9875538333246703,1315.7481916889665
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.08333333333333333,0.9849020460927287,1366.4663732849585
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.125,0.9801538703000104,1400.102233092172
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.16666666666666666,0.9724184413792618,1379.6133836211975
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.20833333333333331,0.9609840673740008,1266.050350227876
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.25,0.9455547238479501,1066.7948156239142
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.29166666666666663,0.9264584703295162,846.242820693689
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.3333333333333333,0.904677222058944,662.3351276217429
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.375,0.8814864586246073,529.857518548681
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.41666666666666663,0.857901371305767,438.7930156696335
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.4583333333333333,0.8344347553668627,375.64576723932845
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.5,0.8113680522110441,330.52000657013235
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.5416666666666666,0.7892362056049368,296.70043001563795
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.5833333333333333,0.7689518010568264,268.6749681926327
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.625,0.7512973788887132,241.83755222957421
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.6666666666666666,0.7364858186912101,214.90240398724808
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.7083333333333333,0.724410927646341,190.77774208906084
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.75,0.714849565827914,172.52263228407676
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.7916666666666666,0.7071846205137134,160.01289393073472
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.8333333333333333,0.7003443691462552,150.68132763648225
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.875,0.6932218113040627,141.65495542900462
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.9166666666666666,0.6851187613926649,131.3130323741596
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.9583333333333333,0.6758817521131505,119.66813566355465
bitcoin-alpha,Pewter (full attn),0.20833333333333331,1.0,0.6657690931146859,107.67654455991388
bitcoin-alpha,Pewter (full attn),0.25,0.0,0.9761002981596003,1124.8332123378182
bitcoin-alpha,Pewter (full attn),0.25,0.041666666666666664,0.9744489079794675,1168.709281099111
bitcoin-alpha,Pewter (full attn),0.25,0.08333333333333333,0.9711005105891386,1212.877352310375
bitcoin-alpha,Pewter (full attn),0.25,0.125,0.9649911580276833,1239.9479590859985
bitcoin-alpha,Pewter (full attn),0.25,0.16666666666666666,0.9550973786691167,1217.6002638711543
bitcoin-alpha,Pewter (full attn),0.25,0.20833333333333331,0.9407802820110963,1114.7400530596874
bitcoin-alpha,Pewter (full attn),0.25,0.25,0.9220308782551433,941.1903288087791
bitcoin-alpha,Pewter (full attn),0.25,0.29166666666666663,0.8996239782546845,751.7955364626089
bitcoin-alpha,Pewter (full attn),0.25,0.3333333333333333,0.8750290294185098,593.6987414512406
bitcoin-alpha,Pewter (full attn),0.25,0.375,0.8499035024890881,478.72500459347214
bitcoin-alpha,Pewter (full attn),0.25,0.41666666666666663,0.8254714162801727,398.71576939579035
bitcoin-alpha,Pewter (full attn),0.25,0.4583333333333333,0.8023220858296493,342.6353227846938
bitcoin-alpha,Pewter (full attn),0.25,0.5,0.7807277030741945,302.29232916620924
bitcoin-alpha,Pewter (full attn),0.25,0.5416666666666666,0.761082242990049,271.9696262289034
bitcoin-alpha,Pewter (full attn),0.25,0.5833333333333333,0.7439344189695216,246.78131340836924
bitcoin-alpha,Pewter (full attn),0.25,0.625,0.7294980993652149,222.5329886591231
bitcoin-alpha,Pewter (full attn),0.25,0.6666666666666666,0.7173962906024931,198.01135940087462
bitcoin-alpha,Pewter (full attn),0.25,0.7083333333333333,0.7071365207731322,175.89344803587176
bitcoin-alpha,Pewter (full attn),0.25,0.75,0.6984028007555165,159.12500227003105
bitcoin-alpha,Pewter (full attn),0.25,0.7916666666666666,0.6907011376349617,147.79582822748623
bitcoin-alpha,Pewter (full attn),0.25,0.8333333333333333,0.6831756264866474,139.68178094850705
bitcoin-alpha,Pewter (full attn),0.25,0.875,0.6749447871122082,132.09054181972914
bitcoin-alpha,Pewter (full attn),0.25,0.9166666666666666,0.6655080624891232,123.29157978395992
bitcoin-alpha,Pewter (full attn),0.25,0.9583333333333333,0.6548718723119638,113.04100938009326
bitcoin-alpha,Pewter (full attn),0.25,1.0,0.6434185748850852,102.12659351826233
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.0,0.9527447299467745,962.6381853637861
