dataset,model,src_bin_lo,src_bin_hi,tgt_bin_lo,tgt_bin_hi,auc,n
wiki-rfa,SiGAT,0.75,1.0,0.75,1.0,0.626300160047077,2645
wiki-rfa,GINEConv,0.0,0.25,0.0,0.25,0.7999174236168456,1231
wiki-rfa,GINEConv,0.0,0.25,0.25,0.5,0.7047180667433832,406
wiki-rfa,GINEConv,0.0,0.25,0.5,0.75,0.5865201465201466,485
wiki-rfa,GINEConv,0.0,0.25,0.75,1.0,0.6134732996214026,813
wiki-rfa,GINEConv,0.25,0.5,0.0,0.25,0.9893942403177756,1363
wiki-rfa,GINEConv,0.25,0.5,0.25,0.5,0.8215311004784689,497
wiki-rfa,GINEConv,0.25,0.5,0.5,0.75,0.7373977086743045,522
wiki-rfa,GINEConv,0.25,0.5,0.75,1.0,0.7106671305269785,877
wiki-rfa,GINEConv,0.5,0.75,0.0,0.25,0.9714788140343011,1710
wiki-rfa,GINEConv,0.5,0.75,0.25,0.5,0.8419243986254296,671
wiki-rfa,GINEConv,0.5,0.75,0.5,0.75,0.779458009618942,806
wiki-rfa,GINEConv,0.5,0.75,0.75,1.0,0.6770690320438617,1405
wiki-rfa,GINEConv,0.75,1.0,0.0,0.25,0.9250316286559006,2108
wiki-rfa,GINEConv,0.75,1.0,0.25,0.5,0.7561674806700226,941
wiki-rfa,GINEConv,0.75,1.0,0.5,0.75,0.705928503298091,1242
wiki-rfa,GINEConv,0.75,1.0,0.75,1.0,0.6666144645066836,2645
slashdot090221,SiGAT,0.0,0.25,0.0,0.25,0.9695627261888211,8953
slashdot090221,SiGAT,0.0,0.25,0.25,0.5,0.9755095169244786,3569
slashdot090221,SiGAT,0.0,0.25,0.5,0.75,0.9217184632379163,4319
slashdot090221,SiGAT,0.0,0.25,0.75,1.0,0.9229395495427481,6487
slashdot090221,SiGAT,0.25,0.5,0.0,0.25,0.851323315016261,2076
slashdot090221,SiGAT,0.25,0.5,0.25,0.5,0.8445788191819937,1008
slashdot090221,SiGAT,0.25,0.5,0.5,0.75,0.8551797607594257,1416
slashdot090221,SiGAT,0.25,0.5,0.75,1.0,0.8043011109268778,2370
slashdot090221,SiGAT,0.5,0.75,0.0,0.25,0.8273260746606336,2141
slashdot090221,SiGAT,0.5,0.75,0.25,0.5,0.7972917558122949,1035
slashdot090221,SiGAT,0.5,0.75,0.5,0.75,0.7550447325014342,1546
slashdot090221,SiGAT,0.5,0.75,0.75,1.0,0.7046284292131241,3183
slashdot090221,SiGAT,0.75,1.0,0.0,0.25,0.7477263307598537,3731
slashdot090221,SiGAT,0.75,1.0,0.25,0.5,0.6715454784956859,1866
slashdot090221,SiGAT,0.75,1.0,0.5,0.75,0.6236853700676012,3161
slashdot090221,SiGAT,0.75,1.0,0.75,1.0,0.5718714117932668,8060
slashdot090221,GINEConv,0.0,0.25,0.0,0.25,0.935813633752814,8953
slashdot090221,GINEConv,0.0,0.25,0.25,0.5,0.7995619507879604,3569
slashdot090221,GINEConv,0.0,0.25,0.5,0.75,0.8177078168897702,4319
slashdot090221,GINEConv,0.0,0.25,0.75,1.0,0.6727439101737454,6487
slashdot090221,GINEConv,0.25,0.5,0.0,0.25,0.8523641639564875,2076
slashdot090221,GINEConv,0.25,0.5,0.25,0.5,0.7467624086671705,1008
slashdot090221,GINEConv,0.25,0.5,0.5,0.75,0.7476495047133779,1416
slashdot090221,GINEConv,0.25,0.5,0.75,1.0,0.5881765047255845,2370
slashdot090221,GINEConv,0.5,0.75,0.0,0.25,0.8578513857466064,2141
slashdot090221,GINEConv,0.5,0.75,0.25,0.5,0.703871594636999,1035
slashdot090221,GINEConv,0.5,0.75,0.5,0.75,0.7004760111876075,1546
slashdot090221,GINEConv,0.5,0.75,0.75,1.0,0.5783881178108041,3183
slashdot090221,GINEConv,0.75,1.0,0.0,0.25,0.7937771231206826,3731
slashdot090221,GINEConv,0.75,1.0,0.25,0.5,0.6239824145425805,1866
slashdot090221,GINEConv,0.75,1.0,0.5,0.75,0.6102334487905156,3161
slashdot090221,GINEConv,0.75,1.0,0.75,1.0,0.5438926506964812,8060
