run_name,epoch,val_auc
slashdot-k_cover_3_20260430-150657,18,0.8902
slashdot-k_cover_3_20260430-150657,19,0.8887
slashdot-k_cover_3_20260430-150657,20,0.8917
slashdot-k_cover_3_20260430-150657,21,0.8926
slashdot-k_cover_3_20260430-150657,22,0.889
slashdot-k_cover_3_20260430-150657,23,0.8931
slashdot-k_cover_3_20260430-150657,24,0.8918
slashdot-k_cover_3_20260430-150657,25,0.8944
slashdot-k_cover_3_20260430-150657,26,0.8978
slashdot-k_cover_3_20260430-150657,27,0.8969
slashdot-k_cover_3_20260430-150657,28,0.8973
slashdot-k_cover_3_20260430-150657,29,0.898
slashdot-k_cover_3_20260430-150657,30,0.8978
slashdot-k_cover_3_20260430-150657,31,0.8976
slashdot-k_cover_3_20260430-150657,32,0.8976
slashdot-k_cover_3_20260430-150657,33,0.8982
slashdot-k_cover_3_20260430-150657,34,0.8988
slashdot-k_cover_3_20260430-150657,35,0.8993
slashdot-k_cover_3_20260430-150657,36,0.9001
slashdot-k_cover_3_20260430-150657,37,0.8992
slashdot-k_cover_3_20260430-150657,38,0.8998
slashdot-k_cover_3_20260430-150657,39,0.9005
slashdot-k_cover_3_20260430-150657,40,0.9004
slashdot-k_cover_3_20260430-150657,41,0.9003
slashdot-k_cover_3_20260430-150657,42,0.9003
slashdot-k_cover_3_20260430-150657,43,0.9008
slashdot-k_cover_3_20260430-150657,44,0.9012
slashdot-k_cover_3_20260430-150657,45,0.9014
slashdot-k_cover_3_20260430-150657,46,0.9015
slashdot-k_cover_3_20260430-150657,47,0.9015
slashdot-k_cover_3_20260430-150657,48,0.9014
slashdot-k_cover_3_20260430-150657,49,0.9014
slashdot-k_cover_3_5m_20260517-110949,0,0.8669
slashdot-k_cover_3_5m_20260517-110949,1,0.8845
slashdot-k_cover_3_5m_20260517-110949,2,0.8851
slashdot-k_cover_3_5m_20260517-110949,3,0.8931
slashdot-k_cover_3_5m_20260517-110949,4,0.8999
slashdot-k_cover_3_5m_20260517-110949,5,0.9092
slashdot-k_cover_3_5m_20260517-110949,6,0.897
slashdot-k_cover_3_5m_20260517-110949,7,0.8987
