term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,seed,scale,p_fdr
const,2324,6.141512154291609,,0.33129291653724574,0.3592916138832094,17.09339132053318,0.0,464.7558222804233,"cluster_2way(u,v)",0.4023718116501326,0.9543889845094664,bitcoin-alpha,47,raw,
src_out,2324,-3.632729690893805,-1.0193240098513874,0.38790807960478824,0.4765563531262256,-7.622875378878022,2.4868995751603507e-14,0.026443902120809097,"cluster_2way(u,v)",0.4023718116501326,0.9543889845094664,bitcoin-alpha,47,raw,4.973799150320701e-14
src_in,2324,-0.9071538063225135,-0.21998937123122514,0.4046982475623727,0.4232483227764892,-2.1433134108403005,0.03208794068864007,0.403671517870847,"cluster_2way(u,v)",0.4023718116501326,0.9543889845094664,bitcoin-alpha,47,raw,0.04278392091818676
tgt_out,2324,-0.13342107497974984,-0.03598470871955159,0.3692937423467249,0.4127082808535591,-0.3232817977478177,0.7464818378188278,0.8750965332637395,"cluster_2way(u,v)",0.4023718116501326,0.9543889845094664,bitcoin-alpha,47,raw,0.7464818378188278
tgt_in,2324,-4.106480730482574,-1.0320229834300498,0.3659002709305402,0.4099960847972061,-10.015902304320145,0.0,0.016465619633591045,"cluster_2way(u,v)",0.4023718116501326,0.9543889845094664,bitcoin-alpha,47,raw,0.0
const,2324,4.519657516771702,,0.21935600022958668,0.24539686758718407,18.41774738695867,0.0,91.80415121139106,"cluster_2way(u,v)",0.4023718116501327,0.9543889845094664,bitcoin-alpha,47,zscored,
src_out,2324,-1.0193240098513887,-1.0193240098513834,0.10884487776441631,0.13371909669096577,-7.622875378878143,2.4868995751603507e-14,0.36083878120805757,"cluster_2way(u,v)",0.4023718116501327,0.9543889845094664,bitcoin-alpha,47,zscored,4.973799150320701e-14
src_in,2324,-0.2199893712312256,-0.219989371231222,0.09814136522288221,0.10263985197805466,-2.1433134108402783,0.03208794068864185,0.8025273277945498,"cluster_2way(u,v)",0.4023718116501327,0.9543889845094664,bitcoin-alpha,47,zscored,0.04278392091818913
tgt_out,2324,-0.035984708719552214,-0.035984708719552255,0.0996014141867549,0.11131065519384015,-0.3232817977478187,0.7464818378188272,0.9646550441811602,"cluster_2way(u,v)",0.4023718116501327,0.9543889845094664,bitcoin-alpha,47,zscored,0.7464818378188272
tgt_in,2324,-1.0320229834300514,-1.03202298343005,0.09195647417520576,0.10303844347452497,-10.015902304320104,0.0,0.3562854714298454,"cluster_2way(u,v)",0.4023718116501327,0.9543889845094664,bitcoin-alpha,47,zscored,0.0
const,2329,6.062446306774487,,0.31739812129125033,0.3649939541059932,16.609717061269375,0.0,429.42465742694327,"cluster_2way(u,v)",0.4194026334735337,0.9480463718334049,bitcoin-alpha,48,raw,
src_out,2329,-3.8549591167368473,-1.0897939200966977,0.37962973257314103,0.5535353368014753,-6.9642511696040525,3.3015812306302905e-12,0.021174468973808,"cluster_2way(u,v)",0.4194026334735337,0.9480463718334049,bitcoin-alpha,48,raw,6.603162461260581e-12
src_in,2329,-0.48014074634165743,-0.11770567902627051,0.40003298120377,0.5043589475629592,-0.951982211600839,0.34110600338998953,0.6186963064360832,"cluster_2way(u,v)",0.4194026334735337,0.9480463718334049,bitcoin-alpha,48,raw,0.45480800451998604
tgt_out,2329,0.15614574590497435,0.042507543877384625,0.3517347577300769,0.3720858585716889,0.41964977251316343,0.6747413225651278,1.1689965671372258,"cluster_2way(u,v)",0.4194026334735337,0.9480463718334049,bitcoin-alpha,48,raw,0.6747413225651278
tgt_in,2329,-4.438324942780376,-1.1535070564016343,0.35337702251962083,0.3567567467036212,-12.440759659879829,0.0,0.011815713949595729,"cluster_2way(u,v)",0.4194026334735337,0.9480463718334049,bitcoin-alpha,48,raw,0.0
const,2329,4.4328013491642135,,0.21108055334916787,0.2484559074963983,17.84140048764376,0.0,84.16686775091335,"cluster_2way(u,v)",0.4194026334735337,0.9480463718334049,bitcoin-alpha,48,zscored,
src_out,2329,-1.0897939200966973,-1.0897939200967217,0.10732102777690465,0.1564840057540133,-6.964251169603943,3.3015812306302905e-12,0.33628578830911243,"cluster_2way(u,v)",0.4194026334735337,0.9480463718334049,bitcoin-alpha,48,zscored,6.603162461260581e-12
src_in,2329,-0.11770567902627055,-0.11770567902627045,0.09806739803746607,0.12364272944589984,-0.951982211600828,0.3411060033899953,0.8889576529975237,"cluster_2way(u,v)",0.4194026334735337,0.9480463718334049,bitcoin-alpha,48,zscored,0.45480800451999376
tgt_out,2329,0.04250754387738469,0.04250754387738516,0.09575272487097691,0.10129290341996097,0.4196497725131657,0.674741322565126,1.0434239278061592,"cluster_2way(u,v)",0.4194026334735337,0.9480463718334049,bitcoin-alpha,48,zscored,0.674741322565126
tgt_in,2329,-1.153507056401634,-1.1535070564016319,0.0918416056286405,0.09271998559072336,-12.440759659879008,0.0,0.31552825132386003,"cluster_2way(u,v)",0.4194026334735337,0.9480463718334049,bitcoin-alpha,48,zscored,0.0
const,2355,5.755863726231106,,0.2875252862475005,0.28840111203339464,19.95784165202741,0.0,316.0384003285808,"cluster_2way(u,v)",0.37574262098400457,0.9498938428874735,bitcoin-alpha,49,raw,
src_out,2355,-3.2128715725719674,-0.8873274475710542,0.35384374344529923,0.4594877493142782,-6.9922899519448185,2.7042812433819563e-12,0.04024089255799462,"cluster_2way(u,v)",0.37574262098400457,0.9498938428874735,bitcoin-alpha,49,raw,5.408562486763913e-12
