term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,node_variant,twohop_variant,pooled,pooled_spec,p_fdr
src_out,9739,-2.1859232219841696,-0.621040239873617,0.1310461765188353,0.15769448329442612,-13.86176089561044,0.0,0.11237393965767242,"cluster_2way(u,v)",0.25458520772379556,0.8411541225998562,wiki-rfa,walk_localattn4,atomic,,,False,,0.0
src_in,9739,0.08108730491435617,0.028383874085650563,0.15080966455202166,0.15941250548550975,0.5086633866483381,0.6109881903548948,1.0844655716077534,"cluster_2way(u,v)",0.25458520772379556,0.8411541225998562,wiki-rfa,walk_localattn4,atomic,,,False,,0.7331858284258738
tgt_out,9739,-0.09909205986653377,-0.034700702406064515,0.10842953827885946,0.1333072022361014,-0.7433361304142523,0.4572782023111728,0.9056593293087095,"cluster_2way(u,v)",0.25458520772379556,0.8411541225998562,wiki-rfa,walk_localattn4,atomic,,,False,,0.5932257759712511
tgt_in,9739,-4.003752581076627,-1.441903712989381,0.12295323466269091,0.1448110872533578,-27.648108007584828,0.0,0.018247036766849977,"cluster_2way(u,v)",0.25458520772379556,0.8411541225998562,wiki-rfa,walk_localattn4,atomic,,,False,,0.0
twohop_in,9739,-0.15567305211515298,-0.027694682704858312,0.3158038296221736,0.32561609879344805,-0.4780877011056598,0.6325877853847435,0.855838959371121,"cluster_2way(u,v)",0.25458520772379556,0.8411541225998562,wiki-rfa,walk_localattn4,atomic,,,False,,0.740590578011407
twohop_out,9739,-0.40864700412937205,-0.06851117975118838,0.2268399888933846,0.28338886163062404,-1.4420009374327933,0.14930210915692999,0.6645487738966941,"cluster_2way(u,v)",0.25458520772379556,0.8411541225998562,wiki-rfa,walk_localattn4,atomic,,,False,,0.3115870104144626
const,9739,6.1370397973721165,,0.2980396853756021,0.362963744128184,16.908134480794764,0.0,462.6819094588137,"cluster_2way(u,v)",0.2788374021950836,0.869185748023411,wiki-rfa,GINEConv,atomic,,,False,,
src_out,9739,-2.016327350312378,-0.5728565434997697,0.1412860392971295,0.2080477344580726,-9.691657328374918,0.0,0.1331435578808149,"cluster_2way(u,v)",0.2788374021950836,0.869185748023411,wiki-rfa,GINEConv,atomic,,,False,,0.0
src_in,9739,-0.17895254835659158,-0.06264071305890029,0.16260525398737913,0.1771950081310957,-1.009918677981016,0.3125342532004025,0.8361455749373528,"cluster_2way(u,v)",0.2788374021950836,0.869185748023411,wiki-rfa,GINEConv,atomic,,,False,,0.48392400495546195
tgt_out,9739,0.09551849252290295,0.033449287337224506,0.11647846640424382,0.11663105487096734,0.8189799245885079,0.4127978675083468,1.1002291678588971,"cluster_2way(u,v)",0.2788374021950836,0.869185748023411,wiki-rfa,GINEConv,atomic,,,False,,0.5827734600117838
tgt_in,9739,-4.784038844926644,-1.7229144993095535,0.1566650354025959,0.16740489958138138,-28.577651292702786,0.0,0.008362157216452722,"cluster_2way(u,v)",0.2788374021950836,0.869185748023411,wiki-rfa,GINEConv,atomic,,,False,,0.0
twohop_in,9739,0.6766036088187005,0.12036972365220378,0.3336657920091911,0.3811958544851413,1.7749500705681833,0.0759061317268952,1.967185043236286,"cluster_2way(u,v)",0.2788374021950836,0.869185748023411,wiki-rfa,GINEConv,atomic,,,False,,0.2048373386476623
twohop_out,9739,-0.2547757009975549,-0.04271408739302183,0.2382568333877949,0.2624280857630498,-0.9708400694108467,0.3316279256831456,0.7750903304530503,"cluster_2way(u,v)",0.2788374021950836,0.869185748023411,wiki-rfa,GINEConv,atomic,,,False,,0.4974418885247184
const,9739,5.860012715645819,,0.2890079196043828,0.3285305492802895,17.837040508054194,0.0,350.7286037322631,"cluster_2way(u,v)",0.24510778955144374,0.867234829037889,wiki-rfa,SiGAT,atomic,,,False,,
src_out,9739,-2.1602576886034677,-0.6137484334428466,0.1403959443922635,0.15544915226971565,-13.896876612458218,0.0,0.11529540689733962,"cluster_2way(u,v)",0.24510778955144374,0.867234829037889,wiki-rfa,SiGAT,atomic,,,False,,0.0
src_in,9739,-0.07161342879055028,-0.02506762985623424,0.15949922041542486,0.18512821466432555,-0.3868315206323344,0.6988809402773704,0.9308906818020022,"cluster_2way(u,v)",0.24510778955144374,0.867234829037889,wiki-rfa,SiGAT,atomic,,,False,,0.7624155712116767
tgt_out,9739,-0.03475927979461626,-0.012172230808671192,0.11442237513201704,0.10985096280350891,-0.31642216788568706,0.7516820931482833,0.9658378849705233,"cluster_2way(u,v)",0.24510778955144374,0.867234829037889,wiki-rfa,SiGAT,atomic,,,False,,0.8017942326915021
tgt_in,9739,-4.064738138265007,-1.4638669336349999,0.13610754339953535,0.16140734508780047,-25.183105118629626,0.0,0.017167484192249432,"cluster_2way(u,v)",0.24510778955144374,0.867234829037889,wiki-rfa,SiGAT,atomic,,,False,,0.0
twohop_in,9739,0.3072613831246108,0.05466268180312565,0.330487427972091,0.3944258476551235,0.7790092483829123,0.43597426683390017,1.3596963233015338,"cluster_2way(u,v)",0.24510778955144374,0.867234829037889,wiki-rfa,SiGAT,atomic,,,False,,0.5932257759712511
twohop_out,9739,-0.13505106994342378,-0.022641810743717104,0.2343635182071885,0.25482708143240695,-0.5299714189884727,0.5961317471681178,0.873671292205223,"cluster_2way(u,v)",0.24510778955144374,0.867234829037889,wiki-rfa,SiGAT,atomic,,,False,,0.7331858284258738
src_out,13748,-1.9509843863472613,-0.5609215304656141,0.10642276108457616,0.12833639102853825,-15.202113529228196,0.0,0.14213408784322126,"cluster_2way(u,v)",0.24537364768113934,0.841358743089904,POOLED,walk_full,atomic,,,True,shared_slope,0.0
src_in,13748,-0.13162307135355938,-0.0456390486037375,0.12692337596418196,0.13699020412310375,-0.9608210469945625,0.33664215412988296,0.8766713753654545,"cluster_2way(u,v)",0.24537364768113934,0.841358743089904,POOLED,walk_full,atomic,,,True,shared_slope,0.475259511712776
tgt_out,13748,-0.19020797010818888,-0.06678672508911632,0.0884019914132274,0.10293846766010657,-1.8477831896258476,0.06463371371502746,0.8267871690452074,"cluster_2way(u,v)",0.24537364768113934,0.841358743089904,POOLED,walk_full,atomic,,,True,shared_slope,0.15512091291606592
tgt_in,13748,-3.867671744750033,-1.3885364158296842,0.09976998498607463,0.12161562757150664,-31.802423931710162,0.0,0.020906989611473442,"cluster_2way(u,v)",0.24537364768113934,0.841358743089904,POOLED,walk_full,atomic,,,True,shared_slope,0.0
twohop_in,13748,-0.09215108479108422,-0.016903685124471546,0.25352684415554133,0.2705530431951242,-0.34060265485398517,0.7334027305525757,0.9119673547387365,"cluster_2way(u,v)",0.24537364768113934,0.841358743089904,POOLED,walk_full,atomic,,,True,shared_slope,0.8669162008661673
twohop_out,13748,-0.3787272785260246,-0.06420469668334383,0.18437553104665316,0.21174907811345328,-1.7885663630757622,0.07368467907561804,0.6847323284143076,"cluster_2way(u,v)",0.24537364768113934,0.841358743089904,POOLED,walk_full,atomic,,,True,shared_slope,0.16076657252862117
ds_wiki-elec,13748,5.83143518382366,2.6503982761228286,0.22204388012334508,0.23672625085855986,24.633665099135328,0.0,340.84750703728383,"cluster_2way(u,v)",0.24537364768113934,0.841358743089904,POOLED,walk_full,atomic,,,True,shared_slope,
ds_wiki-rfa,13748,5.894146600110527,2.6789007329590113,0.2259974238711197,0.2392203592960447,24.63898397885226,0.0,362.90699891751603,"cluster_2way(u,v)",0.24537364768113934,0.841358743089904,POOLED,walk_full,atomic,,,True,shared_slope,
src_out,13748,-2.1956943012777455,-0.6312773267310617,0.10948674175808515,0.1316232538766917,-16.681659483473435,0.0,0.11128127194759586,"cluster_2way(u,v)",0.24930231986989482,0.8433954029677044,POOLED,walk_localattn4,atomic,,,True,shared_slope,0.0
src_in,13748,-0.021847893024043587,-0.007575549190272092,0.12772546397285883,0.1373304687734973,-0.15908991805800854,0.8735980312828462,0.9783890435322397,"cluster_2way(u,v)",0.24930231986989482,0.8433954029677044,POOLED,walk_localattn4,atomic,,,True,shared_slope,0.8735980312828463
tgt_out,13748,-0.13444082715276687,-0.0472055012137406,0.08888570564246556,0.10916477669888949,-1.2315403486199272,0.2181208355240285,0.8742046065217532,"cluster_2way(u,v)",0.24930231986989482,0.8433954029677044,POOLED,walk_localattn4,atomic,,,True,shared_slope,0.3710773469653084
tgt_in,13748,-3.8491742318417947,-1.3818956065856651,0.10031826366796204,0.11687314523192516,-32.93463373646208,0.0,0.02129731582439265,"cluster_2way(u,v)",0.24930231986989482,0.8433954029677044,POOLED,walk_localattn4,atomic,,,True,shared_slope,0.0
twohop_in,13748,-0.0483383245370274,-0.008866914798353881,0.25484330344673767,0.2709749488759856,-0.1783866912330332,0.8584193005326268,0.9528113730736263,"cluster_2way(u,v)",0.24930231986989482,0.8433954029677044,POOLED,walk_localattn4,atomic,,,True,shared_slope,0.8735980312828463
twohop_out,13748,-0.49599272888480955,-0.0840844177877325,0.1867865557739666,0.2363280644867802,-2.0987466298677977,0.03583924177554887,0.6089660689192333,"cluster_2way(u,v)",0.24930231986989482,0.8433954029677044,POOLED,walk_localattn4,atomic,,,True,shared_slope,0.09557131140146365
ds_wiki-elec,13748,5.9998133916646585,2.726926488772157,0.2251799070048687,0.24576450335461442,24.412855842763868,0.0,403.35351734094974,"cluster_2way(u,v)",0.24930231986989482,0.8433954029677044,POOLED,walk_localattn4,atomic,,,True,shared_slope,
ds_wiki-rfa,13748,6.053901585550337,2.751509674782844,0.22909171933338837,0.24772206537717356,24.438281573072075,0.0,425.7709755193956,"cluster_2way(u,v)",0.24930231986989482,0.8433954029677044,POOLED,walk_localattn4,atomic,,,True,shared_slope,
src_out,13748,-1.5317956002493318,-0.44040184968421286,0.11071335908859568,0.15892275227842922,-9.638617367799288,0.0,0.21614720468395748,"cluster_2way(u,v)",0.27107606794431516,0.8651440209485016,POOLED,GINEConv,atomic,,,True,shared_slope,0.0
src_in,13748,-0.08313598266180725,-0.02882661158414818,0.13479456339753876,0.15633263898480484,-0.5317890313991812,0.5948721204528562,0.9202260039301801,"cluster_2way(u,v)",0.27107606794431516,0.8651440209485016,POOLED,GINEConv,atomic,,,True,shared_slope,0.751417415308871
tgt_out,13748,0.13976931832539702,0.04907646632042788,0.09330332668001533,0.09424414096622781,1.4830557835471498,0.13805959041286164,1.1500084823740568,"cluster_2way(u,v)",0.27107606794431516,0.8651440209485016,POOLED,GINEConv,atomic,,,True,shared_slope,0.2761191808257233
tgt_in,13748,-4.711699101975267,-1.6915514591964118,0.12551754622867825,0.13829490468603595,-34.06993997842511,0.0,0.008989490537860962,"cluster_2way(u,v)",0.27107606794431516,0.8651440209485016,POOLED,GINEConv,atomic,,,True,shared_slope,0.0
twohop_in,13748,0.37643058992644457,0.06905034463524082,0.26485451296713275,0.3148942508974388,1.1954190616488842,0.23192334185331775,1.4570744002729137,"cluster_2way(u,v)",0.27107606794431516,0.8651440209485016,POOLED,GINEConv,atomic,,,True,shared_slope,0.3710773469653084
