term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,node_variant,twohop_variant,pooled,pooled_spec,p_fdr
ds_wiki-elec,151030,4.64002576678563,0.8895909604724207,0.236146112001447,0.2672329433133513,17.36322516698415,0.0,103.54701562266169,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
ds_wiki-rfa,151030,5.0092091205229305,1.3103892601853644,0.20885449121999428,0.2981966574895708,16.79834094283275,0.0,149.78622643933676,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
ds_slashdot090221,151030,4.204946051616888,1.9903414385646767,0.055396533525589785,0.08736030607208423,48.133371329391075,0.0,67.01698211095298,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_src_x_bitcoin-otc,151030,0.5931616531964762,0.03147250415181741,0.5580783298398132,0.9710462828267415,0.610847972631919,0.541300230919155,1.8097010270275864,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_tgt_x_bitcoin-otc,151030,0.7164362079079452,0.04076135072805555,0.36135666506951863,0.6098979059388613,1.1746821901365303,0.24012188724343897,2.047124668611536,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_2hop_x_bitcoin-otc,151030,-1.15781211526688,-0.07780957426936601,0.6917506916477425,0.9266058821147994,-1.2495194964922918,0.21147512710327954,0.314172803363328,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_src_x_epinions,151030,1.2830263464220235,0.3344327112619976,0.49697529555059994,0.9049805713790199,1.417739106229577,0.15626694827376086,3.6075408903644965,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_tgt_x_epinions,151030,1.2201681000895896,0.2959103856707853,0.291869937940541,0.5197967788029954,2.3473945007882344,0.018905226160007116,3.387757168042461,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_2hop_x_epinions,151030,-2.00055183454321,-0.6688265504673089,0.5890478035717974,0.8645477164586877,-2.3139866041607964,0.020668456959987536,0.1352606211548602,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_src_x_wiki-elec,151030,2.392539114681511,0.24013636735433633,0.5320905185219457,0.9316663755889073,2.5680213189718097,0.01022808654936691,10.941239765745543,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_tgt_x_wiki-elec,151030,-0.25827862157241244,-0.028609624893148656,0.33696242705703716,0.5637155898306099,-0.45817186225064704,0.6468289734455319,0.7723800003940116,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_2hop_x_wiki-elec,151030,-1.3946582679354722,-0.19271574767133215,0.6857075212121113,0.9688650408269154,-1.4394763038876366,0.15001561901053173,0.24791774333512387,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_src_x_wiki-rfa,151030,2.2077974330933685,0.3214199158424235,0.5140529330106753,0.9132813663748477,2.417434007065024,0.015630367976731785,9.09566051309957,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_tgt_x_wiki-rfa,151030,-0.5520470085046576,-0.08617846901685948,0.32201008303044537,0.5339236829119265,-1.0339436630604015,0.3011625011662631,0.5757699971676928,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_2hop_x_wiki-rfa,151030,-1.1985022994755468,-0.23772855503176663,0.6544284101922823,0.9407670772790946,-1.2739628420478735,0.20267658525772747,0.30164564861545384,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_src_x_slashdot090221,151030,1.3731792009040704,0.4426887500123023,0.4948886324491997,0.8975886211905241,1.5298536194484538,0.12605296591631676,3.9478818749732323,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_tgt_x_slashdot090221,151030,1.689687853237303,0.5553773191892433,0.29106375754897773,0.5143647494284755,3.2849993222023097,0.0010198261698826094,5.417789295771312,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_2hop_x_slashdot090221,151030,-2.3437289052928523,-0.8721200390003677,0.5886505990775446,0.8612162183067619,-2.7214175203305624,0.006500260399968649,0.09596911046392659,"cluster_2way(u,v)",0.2057634008855319,0.8682712043964775,POOLED,GINEConv,marginal3,in_in,in,True,interacted,
b_src,151427,-1.0711615727499981,-0.36827482286538443,0.026676468449378373,0.05042421947187864,-21.242997590619723,0.0,0.342610319384621,"cluster_2way(u,v)",0.19711162374611013,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,shared_slope,0.0
