term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,node_variant,twohop_variant,pooled,pooled_spec,p_fdr
const,77253,3.9413590495580766,,0.0533967777623975,0.08942159593147393,44.076142999935286,0.0,51.4885292349023,"cluster_2way(u,v)",0.1486838827841901,0.9198089394586618,epinions,GINEConv,marginal3,in_in,inout,False,,
b_src,77253,-1.4401564706776575,-0.419260293346242,0.0496514117838631,0.12250477904777,-11.755920723028096,0.0,0.2368906893353734,"cluster_2way(u,v)",0.1486838827841901,0.9198089394586618,epinions,GINEConv,marginal3,in_in,inout,False,,0.0
b_tgt,77253,-3.1254297020737014,-0.8496880541959047,0.045346203498398914,0.09765281455499222,-32.00552607025624,0.0,0.04391805788767919,"cluster_2way(u,v)",0.1486838827841901,0.9198089394586618,epinions,GINEConv,marginal3,in_in,inout,False,,0.0
b_2hop,77253,0.39429502538898376,0.0992746790110605,0.06849747322902983,0.10405315830586198,3.7893614361032864,0.00015103502898861088,1.4833381065281142,"cluster_2way(u,v)",0.1486838827841901,0.9198089394586618,epinions,GINEConv,marginal3,in_in,inout,False,,0.00023137281036553155
const,75997,4.272922278440538,,0.05063715686945645,0.09111194352805144,46.89749897745289,0.0,71.73094743777342,"cluster_2way(u,v)",0.19954838248748707,0.9203126439201548,epinions,GINEConv,marginal3,out_in,out,False,,
b_src,75997,-1.6357375465822328,-0.5780638017012336,0.037560559172145076,0.0811782507299707,-20.14994819269153,0.0,0.19480863785560326,"cluster_2way(u,v)",0.19954838248748707,0.9203126439201548,epinions,GINEConv,marginal3,out_in,out,False,,0.0
b_tgt,75997,-3.439342697609292,-0.920033147138489,0.04919599102361777,0.09817333162589974,-35.03337047494003,0.0,0.032085768450418425,"cluster_2way(u,v)",0.19954838248748707,0.9203126439201548,epinions,GINEConv,marginal3,out_in,out,False,,0.0
b_2hop,75997,0.35136541545914396,0.11133045587554756,0.04992000997267672,0.07717814043639934,4.552654591991573,5.29732078491385e-06,1.4210064887898952,"cluster_2way(u,v)",0.19954838248748707,0.9203126439201548,epinions,GINEConv,marginal3,out_in,out,False,,8.554925529281432e-06
const,76942,5.421475238434247,,0.05398732183961179,0.08513320876376917,63.682261213458546,0.0,226.21259397953372,"cluster_2way(u,v)",0.2040577665093729,0.9200566660601492,epinions,GINEConv,marginal3,out_in,in,False,,
b_src,76942,-1.8891390814133509,-0.6837305675137836,0.038041094083017105,0.0876024780496781,-21.564904594845448,0.0,0.15120192536634966,"cluster_2way(u,v)",0.2040577665093729,0.9200566660601492,epinions,GINEConv,marginal3,out_in,in,False,,0.0
