dataset,model,term,spearman_rho,spearman_p,mi_bits,n
bitcoin-otc,SiGAT,tgt_in,-0.3571134289211161,1.4716784608743016e-107,0.09905654511457418,3560
bitcoin-otc,SiGAT,twohop_in,-0.1818787383470561,7.720312507615248e-28,0.03206634867622049,3558
bitcoin-otc,SiGAT,twohop_out,-0.0892319179895372,2.1464703949207298e-07,0.01463311361220022,3367
epinions,walk_full,src_out,-0.1633714760890729,0.0,0.02567746328309362,84080
epinions,walk_full,src_in,-0.07973212504079742,3.0551694893793807e-109,0.005883269817110544,77317
epinions,walk_full,tgt_out,-0.05905217404757466,6.45169641178693e-60,0.0024403436138301813,76303
epinions,walk_full,tgt_in,-0.14647235299193442,0.0,0.02413568630997719,84080
epinions,walk_full,twohop_in,-0.09222093009896909,6.238252265191847e-145,0.006833777767013224,76942
epinions,walk_full,twohop_out,-0.06033447952365644,3.148106835154473e-62,0.0036046743316427063,75997
epinions,walk_localattn4,src_out,-0.15184704683428524,0.0,0.021424212442295587,84080
epinions,walk_localattn4,src_in,-0.06584859324797575,4.820595569099224e-75,0.0043019494100932,77317
epinions,walk_localattn4,tgt_out,-0.04125983746732312,4.092227232489097e-30,0.0012323122535485916,76303
epinions,walk_localattn4,tgt_in,-0.139402928944543,0.0,0.022000640529181936,84080
epinions,walk_localattn4,twohop_in,-0.08006396228663408,1.2941764079377526e-109,0.004968699068921315,76942
epinions,walk_localattn4,twohop_out,-0.04373550307719916,1.6688676704152753e-33,0.001970930537718319,75997
epinions,GINEConv,src_out,-0.20438081060734192,0.0,0.029602909213199306,84080
epinions,GINEConv,src_in,-0.1362615982313604,0.0,0.014163664762621112,77317
epinions,GINEConv,tgt_out,-0.006173551558398017,0.08813693768961058,0.00013542927283533208,76303
epinions,GINEConv,tgt_in,-0.23550437453512962,0.0,0.05116840576871434,84080
epinions,GINEConv,twohop_in,-0.1352695493812502,0.0,0.014053463770811968,76942
epinions,GINEConv,twohop_out,0.00018254566554481053,0.959865357015373,0.00036781194934182147,75997
epinions,SiGAT,src_out,-0.21431395611940599,0.0,0.037393419911730605,84080
epinions,SiGAT,src_in,-0.08018263245379625,1.8420789236838247e-110,0.005317795180735689,77317
epinions,SiGAT,tgt_out,-0.01887840344435792,1.8365841565841532e-07,0.0003708603396191032,76303
epinions,SiGAT,tgt_in,-0.1627782624549062,0.0,0.028091847395730736,84080
epinions,SiGAT,twohop_in,-0.0738959224201759,1.279869092271967e-93,0.005208573475521585,76942
epinions,SiGAT,twohop_out,-0.015943665776114616,1.1052537299761242e-05,0.00032779652834507883,75997
wiki-elec,walk_full,src_out,-0.19556714941917597,6.372768084128296e-90,0.03233267291259927,10370
wiki-elec,walk_full,src_in,-0.058605478836501,7.964460160813027e-06,0.0032902284250130726,5800
wiki-elec,walk_full,tgt_out,-0.05699559200541354,1.0351430711781775e-06,0.005740110749564251,7336
wiki-elec,walk_full,tgt_in,-0.37901066963365515,0.0,0.11688459759631166,10370
wiki-elec,walk_full,twohop_in,-0.0602136296446558,4.6985997883188874e-06,0.004520882282872913,5772
wiki-elec,walk_full,twohop_out,-0.056212766571219534,1.940958501632667e-06,0.004022963705168181,7160
wiki-elec,walk_localattn4,src_out,-0.19396944203674987,1.837832599844772e-88,0.0314151908491474,10370
wiki-elec,walk_localattn4,src_in,-0.06889678329299426,1.503476995719672e-07,0.004866377870441769,5800
wiki-elec,walk_localattn4,tgt_out,-0.06621784145154802,1.3719557438764781e-08,0.006596225818151304,7336
wiki-elec,walk_localattn4,tgt_in,-0.37928488128771864,0.0,0.11754292369544936,10370
wiki-elec,walk_localattn4,twohop_in,-0.0654232674738383,6.534884370890911e-07,0.004598459168870411,5772
wiki-elec,walk_localattn4,twohop_out,-0.05598584868557957,2.1347236494304916e-06,0.003371575842055578,7160
wiki-elec,GINEConv,src_out,-0.11973737574525906,2.0009520661862055e-34,0.013265477104692924,10370
wiki-elec,GINEConv,src_in,-0.021225745081055777,0.1060212020699143,0.0008137937372729974,5800
wiki-elec,GINEConv,tgt_out,-0.009209575183420832,0.43029520866108373,0.004802374159829488,7336
wiki-elec,GINEConv,tgt_in,-0.4320245653059249,0.0,0.15509905049428951,10370
wiki-elec,GINEConv,twohop_in,-0.033904934253361205,0.009993177107549652,0.0023233035940510016,5772
wiki-elec,GINEConv,twohop_out,-0.035875360171589536,0.002396560179140552,0.003421807087436401,7160
