term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,pooled,pooled_spec,p_fdr
twohop_in,3365,-0.242482684571997,-0.0593869113511708,0.4199849689425697,0.4714220685022249,-0.5143643048837299,0.6069973106018725,0.7846773344849814,"cluster_2way(u,v)",0.2714960071599849,0.9334323922734027,bitcoin-otc,walk_localattn4,atomic,False,,0.6982722175484513
twohop_out,3365,-0.5024684046058787,-0.13078987452169533,0.3570661768068755,0.4367304671842914,-1.1505229022500214,0.24992856694934407,0.6050353429212693,"cluster_2way(u,v)",0.2714960071599849,0.9334323922734027,bitcoin-otc,walk_localattn4,atomic,False,,0.36353246101722775
const,3365,5.336489138146274,,0.2977288171581797,0.2979366774492389,17.91148771555822,0.0,207.78193454550376,"cluster_2way(u,v)",0.3609715320708642,0.9411589895988113,bitcoin-otc,GINEConv,atomic,False,,
src_out,3365,-1.7605807435126917,-0.5602325599632467,0.2534897421063894,0.29141545850558387,-6.04148027198412,1.527066917361708e-09,0.1719449788910638,"cluster_2way(u,v)",0.3609715320708642,0.9411589895988113,bitcoin-otc,GINEConv,atomic,False,,4.487706859185427e-09
src_in,3365,-1.001480033633412,-0.28655270052088455,0.31545956111972734,0.38089338350582536,-2.6292922823063307,0.008556278564027409,0.3673353699466393,"cluster_2way(u,v)",0.3609715320708642,0.9411589895988113,bitcoin-otc,GINEConv,atomic,False,,0.01838961363014846
tgt_out,3365,-0.04119380811937121,-0.012777210002273427,0.29758179464042794,0.35568966168221067,-0.11581390340261179,0.9078000313445365,0.9596431252943942,"cluster_2way(u,v)",0.3609715320708642,0.9411589895988113,bitcoin-otc,GINEConv,atomic,False,,0.9404547087310305
tgt_in,3365,-4.069698404306254,-1.2461837033485557,0.2662647938121799,0.2795507966552758,-14.557992511553262,0.0,0.01708253975107648,"cluster_2way(u,v)",0.3609715320708642,0.9411589895988113,bitcoin-otc,GINEConv,atomic,False,,0.0
twohop_in,3365,-0.21562690146848956,-0.052809608673870925,0.4537177678871279,0.4590808066246393,-0.4696926953968558,0.6385745873914597,0.8060359766185599,"cluster_2way(u,v)",0.3609715320708642,0.9411589895988113,bitcoin-otc,GINEConv,atomic,False,,0.7183964108153922
twohop_out,3365,0.5739798352486155,0.14940392259894045,0.3926556871451356,0.46368349361405015,1.237869890029709,0.21576430848047545,1.7753184854394464,"cluster_2way(u,v)",0.3609715320708642,0.9411589895988113,bitcoin-otc,GINEConv,atomic,False,,0.32030990124936565
const,3365,5.430309774300956,,0.29191264422949886,0.30784480157814953,17.63976440876302,0.0,228.21993114476348,"cluster_2way(u,v)",0.4360473409693979,0.9209509658246656,bitcoin-otc,SiGAT,atomic,False,,
src_out,3365,-2.2053781628850513,-0.7017710823163028,0.2398946213842517,0.28895422819590255,-7.632275106872183,2.3092638912203256e-14,0.11020884053007171,"cluster_2way(u,v)",0.4360473409693979,0.9209509658246656,bitcoin-otc,SiGAT,atomic,False,,7.733348845016904e-14
src_in,3365,-1.9886998381576797,-0.5690251328147055,0.3106609272774615,0.39878648174293974,-4.986878766466332,6.136254271371655e-07,0.13687326720819248,"cluster_2way(u,v)",0.4360473409693979,0.9209509658246656,bitcoin-otc,SiGAT,atomic,False,,1.6065829365045787e-06
tgt_out,3365,0.25602791442672057,0.07941296467650315,0.2884427017858208,0.38310501564493826,0.6682969524575665,0.5039440582872221,1.2917887869798506,"cluster_2way(u,v)",0.4360473409693979,0.9209509658246656,bitcoin-otc,SiGAT,atomic,False,,0.6149825796047456
tgt_in,3365,-4.271023343694285,-1.3078314800677344,0.2470871868405414,0.2698420677586612,-15.827863235595135,0.0,0.013967482302304362,"cluster_2way(u,v)",0.4360473409693979,0.9209509658246656,bitcoin-otc,SiGAT,atomic,False,,0.0
twohop_in,3365,0.2991602157824522,0.07326791703015212,0.4396614015860362,0.4936362737581777,0.6060336966424081,0.5444923774456898,1.3487256933058163,"cluster_2way(u,v)",0.4360473409693979,0.9209509658246656,bitcoin-otc,SiGAT,atomic,False,,0.6426795274768797
twohop_out,3365,0.23756158455192236,0.061836027001721534,0.38544791600768047,0.558495076143998,0.42536021300691174,0.6705741054202281,1.2681530930259368,"cluster_2way(u,v)",0.4360473409693979,0.9209509658246656,bitcoin-otc,SiGAT,atomic,False,,0.7371196273321592
const,70258,5.871391468186067,,0.08578484637325383,0.10309936191922052,56.94886329933222,0.0,354.74224955842885,"cluster_2way(u,v)",0.211302316093399,0.9356229895527911,epinions,walk_full,atomic,False,,
src_out,70258,-2.6270706077361017,-0.9346406659463972,0.04681029808734781,0.07141483540237428,-36.78606262878485,0.0,0.07228991789551016,"cluster_2way(u,v)",0.211302316093399,0.9356229895527911,epinions,walk_full,atomic,False,,0.0
src_in,70258,-0.4463244261659281,-0.12970606080415265,0.07832050623025695,0.11249763594223128,-3.9674116031657802,7.265744769502369e-05,0.6399761133817639,"cluster_2way(u,v)",0.211302316093399,0.9356229895527911,epinions,walk_full,atomic,False,,0.0001773334316624307
tgt_out,70258,-0.21101182373444397,-0.08127200309001352,0.04798003844082567,0.06028014933789446,-3.5005192596925716,0.0004643526832741607,0.8097644923843531,"cluster_2way(u,v)",0.211302316093399,0.9356229895527911,epinions,walk_full,atomic,False,,0.001096176826089822
tgt_in,70258,-2.2541027291873084,-0.5988021765672745,0.05718179411513967,0.09571858583847406,-23.54926903110673,0.0,0.1049676859353126,"cluster_2way(u,v)",0.211302316093399,0.9356229895527911,epinions,walk_full,atomic,False,,0.0
twohop_in,70258,-0.6435610470932284,-0.1691477391419268,0.09761824512570882,0.1362919682703827,-4.7219293642931355,2.336178240636144e-06,0.5254180502365792,"cluster_2way(u,v)",0.211302316093399,0.9356229895527911,epinions,walk_full,atomic,False,,6.007315475921514e-06
twohop_out,70258,-0.521750607072212,-0.16571872764397932,0.07785680391708198,0.0972749561037405,-5.363668388765782,8.15485572402963e-08,0.5934806865542822,"cluster_2way(u,v)",0.211302316093399,0.9356229895527911,epinions,walk_full,atomic,False,,2.174628193074568e-07
const,70258,5.788448258181055,,0.0877758109578701,0.10146741947658032,57.04735853183973,0.0,326.50597809490955,"cluster_2way(u,v)",0.20904771544283074,0.9444903071536338,epinions,walk_localattn4,atomic,False,,
src_out,70258,-2.670062265440761,-0.949935934931135,0.05041152647461816,0.06798041916961813,-39.276931476086986,0.0,0.06924791342325555,"cluster_2way(u,v)",0.20904771544283074,0.9444903071536338,epinions,walk_localattn4,atomic,False,,0.0
src_in,70258,-0.3796961545397477,-0.11034326068796962,0.08364462020443905,0.11680321942989375,-3.2507336389614196,0.0011510764540918483,0.6840692289679325,"cluster_2way(u,v)",0.20904771544283074,0.9444903071536338,epinions,walk_localattn4,atomic,False,,0.0026734678933746153
tgt_out,70258,-0.15112982810385173,-0.058208225677945875,0.051293748212036,0.0616443556129526,-2.4516409750919124,0.014220646989701269,0.8597360735090849,"cluster_2way(u,v)",0.20904771544283074,0.9444903071536338,epinions,walk_localattn4,atomic,False,,0.029253902378814037
