term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,pooled,pooled_spec,p_fdr
src_in,70792,-0.7570419933925918,-0.22014946872470423,0.05726339102125536,0.08270896830581446,-9.15308229445502,0.0,0.46905183540448936,"cluster_2way(u,v)",0.20534525346442323,0.9349785286473048,epinions,walk_full,node4,False,,0.0
tgt_out,70792,-0.35585983336701077,-0.1370763050607245,0.04252583065651494,0.0541801911175362,-6.568080068138253,5.0968118614491686e-11,0.7005708100052359,"cluster_2way(u,v)",0.20534525346442323,0.9349785286473048,epinions,walk_full,node4,False,,9.593998798021964e-11
tgt_in,70792,-2.2403556528434065,-0.595808162948263,0.055765167538697306,0.09461230443654123,-23.67932655467733,0.0,0.10642064884157937,"cluster_2way(u,v)",0.20534525346442323,0.9349785286473048,epinions,walk_full,node4,False,,0.0
const,70792,5.3260430405323085,,0.054249995256082664,0.06308527512037594,84.42608881976719,0.0,205.62272148460482,"cluster_2way(u,v)",0.20419710915179246,0.943863713413945,epinions,walk_localattn4,node4,False,,
src_out,70792,-2.6249995086381404,-0.9347715348144674,0.049202753672052936,0.06762476754200186,-38.817131711510115,0.0,0.07243979262839394,"cluster_2way(u,v)",0.20419710915179246,0.943863713413945,epinions,walk_localattn4,node4,False,,0.0
src_in,70792,-0.6533036848233191,-0.1899821415258795,0.061231469705132,0.08662849065674157,-7.541441388053065,4.6407322429331543e-14,0.520323947807395,"cluster_2way(u,v)",0.20419710915179246,0.943863713413945,epinions,walk_localattn4,node4,False,,9.478942453650699e-14
tgt_out,70792,-0.21854714918026977,-0.08418380744951892,0.0453887082278467,0.05559562560840657,-3.931013398781206,8.458855714232882e-05,0.8036855854347794,"cluster_2way(u,v)",0.20419710915179246,0.943863713413945,epinions,walk_localattn4,node4,False,,0.00014000864630454426
tgt_in,70792,-2.3193444325016817,-0.6168147203856912,0.058937613432905794,0.09204681968645737,-25.197442349471217,0.0,0.09833803169510012,"cluster_2way(u,v)",0.20419710915179246,0.943863713413945,epinions,walk_localattn4,node4,False,,0.0
const,70792,5.12005931204514,,0.04749984774741218,0.07820996846752365,65.46555908881645,0.0,167.34529491844256,"cluster_2way(u,v)",0.22936088620959383,0.9242993558594191,epinions,GINEConv,node4,False,,
src_out,70792,-1.8077992606560265,-0.6437636593677108,0.04114514003283813,0.0906372384281523,-19.945436246814385,0.0,0.1640146935005028,"cluster_2way(u,v)",0.22936088620959383,0.9242993558594191,epinions,GINEConv,node4,False,,0.0
