run_name,epoch,val_auc
WL_SWEEP_mw10_20260604-140849,8,0.818
WL_SWEEP_mw10_20260604-140849,9,0.8194
WL_SWEEP_mw10_20260604-140849,10,0.8217
WL_SWEEP_mw10_20260604-140849,11,0.8319
WL_SWEEP_mw10_20260604-140849,12,0.8246
WL_SWEEP_mw10_20260604-140849,13,0.8163
WL_SWEEP_mw10_20260604-140849,14,0.8315
WL_SWEEP_mw10_20260604-140849,15,0.8366
WL_SWEEP_mw10_20260604-140849,16,0.8428
WL_SWEEP_mw10_20260604-140849,17,0.8443
WL_SWEEP_mw10_20260604-140849,18,0.8305
WL_SWEEP_mw10_20260604-140849,19,0.8405
WL_SWEEP_mw10_20260604-140849,20,0.8372
WL_SWEEP_mw10_20260604-140849,21,0.841
WL_SWEEP_mw10_20260604-140849,22,0.8404
WL_SWEEP_mw10_20260604-140849,23,0.8361
WL_SWEEP_mw10_20260604-140849,24,0.8411
WL_SWEEP_mw10_20260604-140849,25,0.8359
WL_SWEEP_mw10_20260604-140849,26,0.8421
WL_SWEEP_mw10_20260604-140849,27,0.8443
WL_SWEEP_mw10_20260604-140849,28,0.8407
WL_SWEEP_mw10_20260604-140849,29,0.8455
WL_SWEEP_mw10_20260604-140849,30,0.8472
WL_SWEEP_mw10_20260604-140849,31,0.848
WL_SWEEP_mw10_20260604-140849,32,0.8464
WL_SWEEP_mw10_20260604-140849,33,0.8458
WL_SWEEP_mw10_20260604-140849,34,0.8454
WL_SWEEP_mw10_20260604-140849,35,0.8442
WL_SWEEP_mw10_20260604-140849,36,0.8458
WL_SWEEP_mw10_20260604-140849,37,0.8433
WL_SWEEP_mw10_20260604-140849,38,0.843
WL_SWEEP_mw10_20260604-140849,39,0.8438
WL_SWEEP_mw10_20260604-140849,40,0.848
WL_SWEEP_mw10_20260604-140849,41,0.8466
WL_SWEEP_mw10_20260604-140849,42,0.8496
WL_SWEEP_mw10_20260604-140849,43,0.85
WL_SWEEP_mw10_20260604-140849,44,0.8476
WL_SWEEP_mw10_20260604-140849,45,0.8483
WL_SWEEP_mw10_20260604-140849,46,0.8472
WL_SWEEP_mw10_20260604-140849,47,0.8474
WL_SWEEP_mw10_20260604-140849,48,0.8476
WL_SWEEP_mw10_20260604-140849,49,0.8476
WL_SWEEP_mw10_20260604-140858,0,0.6458
WL_SWEEP_mw10_20260604-140858,1,0.6713
WL_SWEEP_mw10_20260604-140858,2,0.6965
WL_SWEEP_mw10_20260604-140858,3,0.725
WL_SWEEP_mw10_20260604-140858,4,0.7382
