term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,seed,scale,p_fdr
tgt_in,127143,-2.472866313451379,-0.809094752476975,0.03605708597981605,0.05248161320485835,-47.118717631615404,0.0,0.08434275941482906,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,raw,0.0
ds_bitcoin-alpha,127143,4.6641755064024855,0.6278260141681888,0.10399015028147388,0.12777917902840155,36.50184280308904,0.0,106.07808845190324,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,raw,
ds_bitcoin-otc,127143,4.679324058752162,0.7524140140374265,0.08042554143204678,0.11239550432321813,41.63266215075409,0.0,107.69725094840896,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,raw,
ds_epinions,127143,5.071242719755413,2.5188090196916244,0.0335773871334769,0.049420762572534666,102.61360723263567,0.0,159.372259385998,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,raw,
ds_wiki-elec,127143,5.350205509544217,0.9396671517056006,0.06358330741990945,0.07007948420455364,76.34481860522271,0.0,210.65158432971572,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,raw,
ds_wiki-rfa,127143,5.284136054893266,1.4112075230534153,0.0490174222467039,0.06004406156527225,88.0043074559343,0.0,197.18375389856217,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,raw,
ds_slashdot090221,127143,4.967706155380405,2.2503142502315785,0.04111416095512472,0.054374946087522295,91.3602037854778,0.0,143.69689069549193,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,raw,
src_out,127143,-0.9916508184932578,-0.9916508184939045,0.011982854323794156,0.01775146670436283,-55.86303571465094,0.0,0.3709637913810635,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,zscored,0.0
src_in,127143,-0.1432986626808256,-0.14329866268082,0.010655028169534182,0.01624429134669283,-8.82147824257041,0.0,0.8664952404547781,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,zscored,0.0
tgt_out,127143,0.01708768470460796,0.017087684704610605,0.010278742684011117,0.012286610799826451,1.3907565709535883,0.1642992565899366,1.017234514322702,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,zscored,0.1642992565899366
tgt_in,127143,-0.8090947524769749,-0.8090947524769667,0.01179748330800897,0.01717140858549376,-47.11871763161528,0.0,0.4452609552151052,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,zscored,0.0
ds_bitcoin-alpha,127143,2.5819634645361407,0.3475477774029822,0.10161036613042534,0.124984583514679,20.658255537835178,0.0,13.223075727828162,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,zscored,
ds_bitcoin-otc,127143,2.597112016885816,0.4176037934100668,0.07642583837567452,0.10903949611537861,23.818085275611676,0.0,13.424911079684648,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,zscored,
ds_epinions,127143,2.9890306778890685,1.4846060123040354,0.018964726251748748,0.0328828391005757,90.89941013751267,0.0,19.866416198964924,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,zscored,
ds_wiki-elec,127143,3.267993467677872,0.5739641417675145,0.05451676063553957,0.05594825992155929,58.4109938764793,0.0,26.258597722014603,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,zscored,
ds_wiki-rfa,127143,3.201924013026921,0.8551216714498929,0.03573473557507056,0.041060604616510184,77.98043996019118,0.0,24.579776541508153,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,zscored,
ds_slashdot090221,127143,2.8854941135140604,1.3070959351263802,0.023100086295505723,0.03126307082402155,92.29720681491527,0.0,17.912416176140514,"cluster_2way(u,v)",0.24589045524998987,0.896329329967045,46,zscored,
src_out,127186,-2.6380783575736597,-0.9820422362265879,0.03212262787312944,0.047059401637312474,-56.05847643166757,0.0,0.07149853224222417,"cluster_2way(u,v)",0.24447311390988902,0.8975909298193198,47,raw,0.0
src_in,127186,-0.4205126381315955,-0.14182580453104787,0.031650622878348265,0.05034591068855374,-8.352468599345448,0.0,0.6567100788814721,"cluster_2way(u,v)",0.24447311390988902,0.8975909298193198,47,raw,0.0
tgt_out,127186,0.039738721968169605,0.01526999200687787,0.026880482834055208,0.03210470809411935,1.2377848710435273,0.2157958395985602,1.040538868724809,"cluster_2way(u,v)",0.24447311390988902,0.8975909298193198,47,raw,0.2157958395985602
tgt_in,127186,-2.5414014738533397,-0.8314079173915816,0.03643639082790135,0.05291238124154915,-48.03037425686143,0.0,0.07875594800918165,"cluster_2way(u,v)",0.24447311390988902,0.8975909298193198,47,raw,0.0
